Country,Code,Year,"Food supply (kcal/capita/day) (FAO, 2020)"
Venezuela,VEN,2016,2253
Venezuela,VEN,2017,2247
Vietnam,VNM,2015,2900
Vietnam,VNM,2016,2924
Vietnam,VNM,2017,2938
Yemen,YEM,2015,2142
Yemen,YEM,2016,1987
Yemen,YEM,2017,2063
Zambia,ZMB,2015,2057
Zambia,ZMB,2016,2010
Zambia,ZMB,2017,2013
Zimbabwe,ZWE,2015,2172
Zimbabwe,ZWE,2016,2176
Zimbabwe,ZWE,2017,2173
