Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Food supply (kcal/capita/day),"Crude birth rate (births per 1,000 population)",Deaths - Unsafe water source per 100k people,Deaths - Conflict and terrorism,,,,,,,,,
Iran,Middle East and Northern Africa,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,3071,19.066,0.817595481,0.095376737,,,,,,,,,
Ukraine,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,3037,10.327,0.11217234,5.107381621,,,,,,,,,
Iraq,Middle East and Northern Africa,2015,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,2503,31.109,1.03873829,64.25794311,,,,,,,,,
South Africa,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,2974,21.719,24.81199864,0.266156867,,,,,,,,,
Ghana,Sub-Saharan Africa,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,2921,30.714,29.55021112,0.087063532,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,2172,33.981,39.05745279,0.084654767,,,,,,,,,
Liberia,Sub-Saharan Africa,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,2122,34.297,75.31015069,0.02212819,,,,,,,,,
India,Southern Asia,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,2461,18.625,71.06667564,0.104939921,,,,,,,,,
Sudan,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,2438,33.318,15.96967779,0,,,,,,,,,
Haiti,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,2145,25.581,29.35866575,0,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,2016,127,4.236,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,,,,,,,,,,,,,
Nepal,Southern Asia,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,2808,20.844,55.27513183,0.003418383,,,,,,,,,
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,2254,33.635,73.74787957,0.412785911,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,2015,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,2447,35.055,79.44467556,0,,,,,,,,,
Mauritania,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,2835,34.991,47.0973963,0.026684869,,,,,,,,,
Kenya,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,2172,30.688,64.19602838,1.403863084,,,,,,,,,
Djibouti,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,2710,22.921,31.57580545,2.566856372,,,,,,,,,
Armenia,Central and Eastern Europe,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,3080,14.795,0.123434319,1.673644055,,,,,,,,,
Botswana,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,2386,26.44,29.31145201,0,,,,,,,,,
Myanmar,Southeastern Asia,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,2675,18.041,18.91584001,1.458158953,,,,,,,,,
Georgia,Central and Eastern Europe,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,2918,14.078,0.250931684,0.06464023,,,,,,,,,
Malawi,Sub-Saharan Africa,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,2596,35.839,59.6763371,0.073506162,,,,,,,,,
Sri Lanka,Southern Asia,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,2589,16.609,2.830991792,0.014054447,,,,,,,,,
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,2666,36.964,53.9163525,6.044504821,,,,,,,,,
Bulgaria,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,2753,9.171,0.159812151,0,,,,,,,,,
Egypt,Middle East and Northern Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,3365,28.182,3.911113893,0.241266736,,,,,,,,,
Yemen,Middle East and Northern Africa,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,2142,32.197,15.21542653,31.47036492,,,,,,,,,
Angola,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,2191,42.52,89.385369,0.003796695,,,,,,,,,
Mali,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,2820,43.226,91.10424987,1.32141565,,,,,,,,,
Congo (Brazzaville),Sub-Saharan Africa,2017,124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.079618134,1.724135637,,,,,,,,,,,,,
Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,2179,40.68,48.3670458,0.056605666,,,,,,,,,
Senegal,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,2490,36.318,57.31365973,0.007116889,,,,,,,,,
Gabon,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,2749,32.927,25.62764514,0.060819839,,,,,,,,,
